date;temperature;pluie;majsite;succesAPI
2026-07-02 02:00:00 CEST;19.3;0;2026-07-02 02:15:04 CEST;yes
2026-07-02 02:00:00 CEST;19.3;0;2026-07-02 02:20:05 CEST;yes
2026-07-02 02:00:00 CEST;19.3;0;2026-07-02 02:25:04 CEST;yes
2026-07-02 02:00:00 CEST;19.3;0;2026-07-02 02:30:04 CEST;yes
2026-07-02 02:00:00 CEST;19.3;0;2026-07-02 02:35:05 CEST;yes
2026-07-02 02:00:00 CEST;19.3;0;2026-07-02 02:40:05 CEST;yes
2026-07-02 02:00:00 CEST;19.3;0;2026-07-02 02:45:05 CEST;yes
2026-07-02 02:00:00 CEST;19.3;0;2026-07-02 02:50:04 CEST;yes
2026-07-02 02:00:00 CEST;19.3;0;2026-07-02 02:55:04 CEST;yes
2026-07-02 03:00:00 CEST;18.5;0;2026-07-02 03:15:05 CEST;yes
2026-07-02 03:00:00 CEST;18.5;0;2026-07-02 03:20:04 CEST;yes
2026-07-02 03:00:00 CEST;18.5;0;2026-07-02 03:25:04 CEST;yes
2026-07-02 03:00:00 CEST;18.5;0;2026-07-02 03:30:05 CEST;yes
2026-07-02 03:00:00 CEST;18.5;0;2026-07-02 03:35:05 CEST;yes
2026-07-02 03:00:00 CEST;18.5;0;2026-07-02 03:40:05 CEST;yes
2026-07-02 03:00:00 CEST;18.5;0;2026-07-02 03:45:04 CEST;yes
2026-07-02 03:00:00 CEST;18.5;0;2026-07-02 03:50:04 CEST;yes
2026-07-02 03:00:00 CEST;18.5;0;2026-07-02 03:55:04 CEST;yes
2026-07-02 04:00:00 CEST;17.9;0;2026-07-02 04:15:05 CEST;yes
2026-07-02 04:00:00 CEST;17.9;0;2026-07-02 04:20:04 CEST;yes
2026-07-02 04:00:00 CEST;17.9;0;2026-07-02 04:25:05 CEST;yes
2026-07-02 04:00:00 CEST;17.9;0;2026-07-02 04:30:05 CEST;yes
2026-07-02 04:00:00 CEST;17.9;0;2026-07-02 04:35:04 CEST;yes
2026-07-02 04:00:00 CEST;17.9;0;2026-07-02 04:40:04 CEST;yes
2026-07-02 04:00:00 CEST;17.9;0;2026-07-02 04:45:04 CEST;yes
2026-07-02 04:00:00 CEST;17.9;0;2026-07-02 04:50:04 CEST;yes
2026-07-02 04:00:00 CEST;17.9;0;2026-07-02 04:55:04 CEST;yes
2026-07-02 05:00:00 CEST;17.3;0;2026-07-02 05:15:04 CEST;yes
2026-07-02 05:00:00 CEST;17.3;0;2026-07-02 05:20:03 CEST;yes
2026-07-02 05:00:00 CEST;17.3;0;2026-07-02 05:25:04 CEST;yes
2026-07-02 05:00:00 CEST;17.3;0;2026-07-02 05:30:05 CEST;yes
2026-07-02 05:00:00 CEST;17.3;0;2026-07-02 05:35:05 CEST;yes
2026-07-02 05:00:00 CEST;17.3;0;2026-07-02 05:40:05 CEST;yes
2026-07-02 05:00:00 CEST;17.3;0;2026-07-02 05:45:04 CEST;yes
2026-07-02 05:00:00 CEST;17.3;0;2026-07-02 05:50:05 CEST;yes
2026-07-02 05:00:00 CEST;17.3;0;2026-07-02 05:55:05 CEST;yes
2026-07-02 05:00:00 CEST;17.3;0;2026-07-02 05:58:15 CEST;yes
2026-07-02 06:00:00 CEST;17.3;0;2026-07-02 06:15:05 CEST;yes
2026-07-02 06:00:00 CEST;17.3;0;2026-07-02 06:16:28 CEST;yes
2026-07-02 06:00:00 CEST;17.3;0;2026-07-02 06:20:04 CEST;yes
2026-07-02 06:00:00 CEST;17.3;0;2026-07-02 06:25:05 CEST;yes
2026-07-02 06:00:00 CEST;17.3;0;2026-07-02 06:30:08 CEST;yes
2026-07-02 06:00:00 CEST;17.3;0;2026-07-02 06:35:04 CEST;yes
2026-07-02 06:00:00 CEST;17.3;0;2026-07-02 06:40:05 CEST;yes
2026-07-02 06:00:00 CEST;17.3;0;2026-07-02 06:45:06 CEST;yes
2026-07-02 06:00:00 CEST;17.3;0;2026-07-02 06:50:03 CEST;yes
2026-07-02 06:00:00 CEST;17.3;0;2026-07-02 06:55:03 CEST;yes
2026-07-02 07:00:00 CEST;17.3;0;2026-07-02 07:15:04 CEST;yes
2026-07-02 07:00:00 CEST;17.3;0;2026-07-02 07:20:04 CEST;yes
2026-07-02 07:00:00 CEST;17.3;0;2026-07-02 07:25:04 CEST;yes
2026-07-02 07:00:00 CEST;17.3;0;2026-07-02 07:30:05 CEST;yes
2026-07-02 08:00:00 CEST;19.4;0;2026-07-02 08:30:34 CEST;yes
2026-07-02 08:00:00 CEST;19.4;0;2026-07-02 08:35:04 CEST;yes
2026-07-02 08:00:00 CEST;19.4;0;2026-07-02 08:36:43 CEST;yes
2026-07-02 08:00:00 CEST;19.4;0;2026-07-02 08:40:04 CEST;yes
2026-07-02 08:00:00 CEST;19.4;0;2026-07-02 08:42:55 CEST;yes
2026-07-02 08:00:00 CEST;19.4;0;2026-07-02 08:44:53 CEST;yes
